Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
DOCTOR,42509,3.51542E+15,Jul-25,251,1
DOCTOR,80334,2.13134E+14,May-32,858,1
LAWYER,91552,4.86962E+15,Mar-30,755,1
LAWYER,43623,3.41063E+14,Jan-29,160,1
DOCTOR,22962,4.70742E+18,Nov-30,102,0
ENGINEER,72106,4.48353E+12,May-27,834,0
DOCTOR,54992,3.48782E+14,Jun-30,207,0
LAWYER,19996,3.86082E+13,Dec-26,433,0
DOCTOR,54682,4.49593E+15,Jan-32,872,0
DOCTOR,74679,3.01075E+13,Sep-34,295,0
ENGINEER,18932,4.37813E+18,Sep-32,637,0
ENGINEER,7554,4.27798E+15,Oct-31,360,0
LAWYER,3092,3.58435E+15,Oct-32,666,0
LAWYER,35707,3.56664E+15,Feb-33,652,1
DOCTOR,48695,3.50919E+15,Sep-25,901,1
ENGINEER,7932,3.59886E+15,Nov-33,831,1
DOCTOR,5403,4.7283E+15,Oct-31,962,1
ENGINEER,52440,6.01131E+15,Apr-27,3336,0
LAWYER,1598,4.78647E+12,Dec-24,390,0
DOCTOR,53211,3.86044E+13,Apr-25,859,1
LAWYER,54103,5.71979E+11,Apr-33,228,1
LAWYER,74329,6.59233E+15,Nov-25,469,1
ENGINEER,3784,4.89973E+15,Sep-33,723,0
LAWYER,93669,3.47167E+14,Mar-30,547,0
DOCTOR,72324,3.66745E+13,May-33,783,1
LAWYER,62306,4.51479E+12,Nov-28,141,0
DOCTOR,22144,4.33028E+18,Jun-27,457,1
ENGINEER,7286,5.47039E+15,Feb-28,758,1
DOCTOR,4885,2.24706E+15,Nov-26,288,0
LAWYER,4829,3.04105E+13,Feb-25,852,1
ENGINEER,80900,3.82693E+13,Jan-30,882,0
DOCTOR,86156,3.00841E+13,Feb-34,962,1
ENGINEER,30627,3.7517E+14,Dec-24,871,1
DOCTOR,4195,4.79289E+15,Jun-34,279,0
DOCTOR,86553,4.3401E+18,Dec-33,282,0
DOCTOR,99484,2.56787E+15,Jan-32,686,1
ENGINEER,83925,3.70523E+14,Mar-26,677,1
DOCTOR,35956,2.13118E+14,Jul-29,848,0
ENGINEER,13039,3.56184E+15,Dec-33,241,0
DOCTOR,84764,2.13186E+14,Aug-29,817,1
LAWYER,17564,4.90242E+15,Nov-28,777,1
LAWYER,69645,3.71031E+14,Apr-33,4108,1
DOCTOR,37159,6.01182E+15,Oct-29,428,0
LAWYER,20653,5.36388E+15,Apr-32,958,1
DOCTOR,40682,3.50168E+15,Aug-32,791,1
ENGINEER,8051,3.54551E+15,Sep-30,22,1
ENGINEER,16701,2.13196E+14,Jan-25,741,1
DOCTOR,35273,3.02801E+13,May-33,203,1
DOCTOR,61284,4.59858E+15,Mar-33,3575,0
LAWYER,24571,4.76715E+12,Apr-30,857,0
LAWYER,48247,4.32672E+12,Oct-33,792,0
LAWYER,50909,2.13121E+14,Jul-25,30,0
ENGINEER,31303,2.13112E+14,Apr-34,543,0
LAWYER,99465,4.34859E+12,Jun-34,900,1
DOCTOR,24501,1.80011E+14,Dec-24,521,0
ENGINEER,17115,4.32293E+15,Sep-25,810,1
LAWYER,56577,4.02482E+18,Sep-26,707,0
LAWYER,40822,3.54705E+15,Dec-30,926,0
ENGINEER,68802,3.43528E+14,Aug-26,759,1
ENGINEER,18967,3.76541E+14,Mar-25,366,0
ENGINEER,37863,3.70289E+14,Jul-25,8877,0
LAWYER,94751,3.58748E+15,Jun-31,612,1
LAWYER,67976,2.13117E+14,Oct-30,274,0
ENGINEER,21382,2.13131E+14,Dec-30,574,1
LAWYER,36418,5.19504E+15,Jul-27,757,0
DOCTOR,70186,2.1317E+14,Oct-29,601,1
ENGINEER,62089,2.13109E+14,May-31,560,0
LAWYER,52845,6.01143E+15,Jan-31,747,0
DOCTOR,37583,3.51769E+15,Jan-28,715,0
ENGINEER,62273,3.56309E+15,Aug-28,856,1
DOCTOR,17465,4.09408E+18,May-30,694,1
ENGINEER,90027,4.12194E+12,Jun-26,664,1
ENGINEER,26496,4.81333E+15,May-28,120,0
DOCTOR,10372,3.59394E+15,Mar-25,947,1
ENGINEER,26953,3.74021E+14,Nov-33,5079,0
LAWYER,57744,4.66443E+15,Oct-28,0,1
DOCTOR,80642,3.05125E+13,Jan-29,323,0
DOCTOR,31370,4.88017E+15,Feb-27,2905,1
ENGINEER,46728,6.01122E+15,Dec-32,389,0
LAWYER,80677,1.80039E+14,Mar-32,607,0
ENGINEER,76416,3.50162E+15,Dec-28,6079,1
ENGINEER,53387,4.15201E+15,Mar-29,8,0
ENGINEER,1088,4.80204E+15,Sep-34,451,1
ENGINEER,36883,3.76386E+14,Aug-26,429,0
LAWYER,8494,4.60363E+15,Jan-32,312,1
ENGINEER,17597,4.82861E+12,Feb-32,907,0
LAWYER,48497,3.05225E+13,Mar-34,328,1
DOCTOR,9704,6.01199E+15,Mar-25,503,0
DOCTOR,7181,2.13176E+14,May-34,628,0
DOCTOR,53764,6.30491E+11,Mar-28,739,1
LAWYER,26375,4.26746E+12,Feb-26,994,0
ENGINEER,31476,2.13152E+14,Jun-27,381,0
LAWYER,57380,3.56071E+15,Feb-31,86,1
DOCTOR,14757,3.56382E+15,Oct-25,852,1
DOCTOR,81197,3.48392E+14,Mar-31,180,1
LAWYER,13497,4.46581E+15,Mar-30,193,1
LAWYER,19204,4.71163E+18,May-30,3416,0
ENGINEER,46543,4.52655E+18,Apr-34,591,1
ENGINEER,95753,3.5326E+15,Jan-33,701,0
DOCTOR,30115,3.69478E+13,Mar-33,3736,1
ENGINEER,22915,6.01185E+15,Jun-25,958,0
DOCTOR,45906,4.20839E+15,Feb-31,918,1
DOCTOR,55645,5.12433E+15,Apr-26,268,0
DOCTOR,22511,4.81318E+12,Jun-26,988,1
DOCTOR,84240,4.25496E+15,Feb-31,101,0
ENGINEER,78289,4.56158E+15,Jan-34,435,1
DOCTOR,52236,6.76378E+11,Jan-33,737,0
DOCTOR,72426,4.64353E+18,Aug-25,627,1
LAWYER,71887,4.13769E+12,Jul-34,110,0
LAWYER,52054,4.47781E+12,Oct-27,854,0
ENGINEER,21481,3.56546E+15,Jul-25,58,1
ENGINEER,45660,5.12764E+15,Dec-26,420,0
DOCTOR,10777,3.56543E+15,Apr-29,397,0
LAWYER,17071,1.80099E+14,Jan-25,823,1
ENGINEER,69716,6.56737E+15,Apr-26,1092,0
LAWYER,32226,3.0077E+13,Jul-29,808,0
DOCTOR,94507,4.09062E+15,Oct-25,451,1
ENGINEER,97994,4.09152E+15,Apr-30,172,0
ENGINEER,36667,3.57258E+15,Dec-26,821,1
LAWYER,55791,3.53993E+15,Oct-26,891,1
DOCTOR,11771,4.10457E+18,Feb-26,696,1
ENGINEER,2760,1.80069E+14,May-30,794,1
LAWYER,54373,6.5887E+15,Mar-32,624,0
LAWYER,4622,6.01167E+15,Jan-31,684,1
DOCTOR,56530,1.80033E+14,Apr-28,981,0
LAWYER,79089,3.72932E+14,Mar-26,25,0
DOCTOR,38147,5.69201E+11,Jun-33,327,1
DOCTOR,28657,4.43821E+15,Jul-31,484,1
LAWYER,13724,6.01112E+15,Apr-33,841,0
ENGINEER,48878,3.53954E+15,Apr-33,9,1
LAWYER,49531,3.60018E+13,Aug-31,165,1
LAWYER,966,6.30461E+11,Feb-30,671,1
ENGINEER,76369,4.5414E+15,Oct-25,879,0
DOCTOR,65156,2.13186E+14,Dec-31,406,0
DOCTOR,70325,4.73334E+15,May-32,271,0
ENGINEER,16684,6.54622E+15,Jun-33,245,0
DOCTOR,76281,2.45862E+15,Aug-25,446,0
DOCTOR,7929,4.04799E+15,May-31,186,1
ENGINEER,94994,4.4507E+18,Nov-24,81,0
DOCTOR,8015,3.77667E+14,Mar-32,239,1
ENGINEER,76149,3.56644E+15,Jul-30,68,0
DOCTOR,90066,3.57258E+15,Dec-29,6124,0
DOCTOR,1713,3.58698E+15,Jul-34,938,0
LAWYER,91673,3.57459E+15,Sep-30,89,1
ENGINEER,5044,4.90078E+18,Aug-28,4127,1
DOCTOR,15062,4.29934E+15,Dec-29,908,1
LAWYER,43099,3.57349E+15,Apr-33,867,1
LAWYER,13764,6.52831E+15,Jun-28,385,1
LAWYER,69934,2.72046E+15,Nov-28,221,1
DOCTOR,95730,3.51052E+15,Jul-27,802,0
DOCTOR,61112,3.55496E+15,Jun-25,876,1
ENGINEER,23457,4.73374E+15,Mar-27,221,0
DOCTOR,63591,4.84309E+15,Jul-32,9043,1
LAWYER,99728,5.17052E+15,Jul-26,694,1
DOCTOR,60303,5.01891E+11,Sep-32,897,0
DOCTOR,51273,3.42069E+14,Mar-25,829,0
DOCTOR,83792,4.29755E+12,Jun-27,676,1
DOCTOR,64905,3.51287E+15,Oct-28,747,1
LAWYER,98375,3.40392E+14,Jun-31,981,0
ENGINEER,93862,5.68751E+11,Oct-34,318,1
DOCTOR,58580,3.53183E+15,Feb-29,779,0
LAWYER,53542,4.98417E+15,Oct-27,935,0
DOCTOR,50674,4.17658E+15,Dec-26,179,1
LAWYER,51020,5.33076E+15,Sep-27,843,1
LAWYER,17534,3.00183E+13,Sep-26,698,0
DOCTOR,99151,6.75964E+11,Jan-27,19,0
LAWYER,98581,4.32664E+18,Aug-25,677,1
DOCTOR,83211,4.61819E+18,Nov-27,844,1
DOCTOR,72227,4.86317E+12,Dec-29,933,0
ENGINEER,55878,4.30083E+15,Jan-28,943,0
DOCTOR,98905,4.80834E+12,Dec-30,822,1
DOCTOR,15850,3.43257E+14,Sep-29,676,1
ENGINEER,87271,6.50796E+15,Dec-30,631,1
ENGINEER,85199,4.52159E+12,Jul-30,205,1
DOCTOR,61090,4.60624E+12,Jan-25,73,1
ENGINEER,55965,4.85657E+12,Jul-34,149,1
DOCTOR,890,3.00546E+13,Aug-28,915,0
ENGINEER,75254,3.42742E+14,Jul-27,916,1
ENGINEER,7844,5.03881E+11,Dec-24,989,1
ENGINEER,306,4.36901E+15,Jan-31,712,1
ENGINEER,97953,3.04455E+13,Apr-27,649,0
LAWYER,15229,1.80081E+14,Jul-34,894,1
LAWYER,25463,2.24991E+15,Feb-32,773,1
ENGINEER,57036,3.75253E+14,Mar-27,14,1
LAWYER,42515,3.56337E+15,Oct-31,153,1
DOCTOR,56498,2.13126E+14,Oct-31,825,1
ENGINEER,11497,6.01101E+15,Oct-29,534,1
DOCTOR,32427,6.0111E+15,Nov-26,129,1
ENGINEER,1317,3.57055E+15,Nov-33,399,1
ENGINEER,82829,3.89236E+13,Jul-31,140,1
LAWYER,75507,1.80042E+14,Sep-31,355,1
ENGINEER,12890,4.2029E+15,Oct-26,488,0
DOCTOR,81227,3.04316E+13,Jun-34,630,1
LAWYER,24666,4.22079E+12,Jul-34,335,0
LAWYER,79391,5.53569E+15,Feb-25,917,0
ENGINEER,85988,3.0042E+13,Dec-26,921,0
LAWYER,99114,4.56001E+12,Feb-29,948,1
ENGINEER,26615,1.80052E+14,Oct-25,3551,1
ENGINEER,57654,3.51404E+15,Sep-29,522,1
LAWYER,39317,4.79343E+12,Apr-31,219,1
LAWYER,73581,5.38766E+15,Mar-33,912,0
